disease,diet,exercise,water,sleep,precautions
Flu,"Soup, Fruits, Vegetables","Light Walking","3 Litres/day","8 Hours","Take proper rest, Stay hydrated, Avoid cold drinks"
Common Cold,"Warm Fluids, Citrus Fruits","Breathing Exercise","2.5 Litres/day","8 Hours","Wear warm clothes, Avoid cold food"
Migraine,"Low Caffeine Diet","Yoga","2 Litres/day","8 Hours","Reduce screen time, Avoid stress"
Food Poisoning,"ORS, Rice, Banana","Complete Rest","3 Litres/day","9 Hours","Eat light food, Maintain hygiene"
Malaria,"High Protein Diet","Rest","3 Litres/day","9 Hours","Complete medicine course, Avoid mosquito bites"
Dengue,"Papaya Leaf Juice, Fruits","Rest","4 Litres/day","9 Hours","Monitor platelet count, Drink plenty of fluids"
Typhoid,"Soft Diet","Rest","3 Litres/day","9 Hours","Eat freshly cooked food, Complete antibiotics"
Allergy,"Healthy Diet","Walking","2.5 Litres/day","8 Hours","Avoid allergens, Wear a mask if needed"
Asthma,"Protein Rich Diet","Breathing Exercises","3 Litres/day","8 Hours","Avoid smoke and dust, Carry inhaler"
Diabetes,"Low Sugar Diet","30 min Walking","3 Litres/day","8 Hours","Monitor blood sugar regularly"
